Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
304,1.515,913.223151,1.692347,3.613803,2.327587
305,1.52,936.342725,1.703108,3.625439,2.327006
306,1.525,901.663365,1.713799,3.637073,2.326428
307,1.53,959.462298,1.724622,3.648704,2.325843
308,1.535,982.581872,1.735913,3.660331,2.325231
309,1.54,994.141658,1.747402,3.671956,2.324606
310,1.545,982.581872,1.758888,3.683577,2.323981
311,1.55,982.581872,1.770304,3.695196,2.323361
312,1.555,1051.940592,1.78212,3.706811,2.322717
313,1.56,1017.261232,1.794134,3.718423,2.322061
314,1.565,994.141658,1.805809,3.730032,2.321424
315,1.57,994.141658,1.817346,3.741637,2.320796
316,1.575,1040.380805,1.829149,3.753239,2.320152
317,1.58,982.581872,1.840881,3.764839,2.319511
318,1.585,994.141658,1.852342,3.776435,2.318887
319,1.59,982.581872,1.8638,3.788028,2.318262
320,1.595,1005.701445,1.875322,3.799617,2.317634
321,1.6,982.581872,1.886841,3.811204,2.317005
322,1.605,1028.821019,1.89849,3.822787,2.316369
323,1.61,1040.380805,1.910471,3.834368,2.315713
324,1.615,971.022085,1.922114,3.845944,2.315077
325,1.62,1040.380805,1.933754,3.857518,2.31444
326,1.625,1040.380805,1.945792,3.869089,2.313781
327,1.63,1075.060165,1.958027,3.880656,2.313109
328,1.635,1028.821019,1.970191,3.89222,2.312441
329,1.64,1040.380805,1.982152,3.90378,2.311785
330,1.645,1040.380805,1.994176,3.915338,2.311125
331,1.65,1063.500379,2.00633,3.926892,2.310457
332,1.655,1063.500379,2.018614,3.938442,2.309781
333,1.66,1028.821019,2.030694,3.94999,2.309117
334,1.665,1051.940592,2.042704,3.961533,2.308457
335,1.67,1121.299312,2.055244,3.973074,2.307766
336,1.675,1098.179739,2.068047,3.984611,2.307059
337,1.68,1109.739526,2.08078,3.996145,2.306355
338,1.685,1075.060165,2.093375,4.007675,2.30566
339,1.69,1121.299312,2.106034,4.019201,2.304961
340,1.695,1098.179739,2.118821,4.030724,2.304253
341,1.7,1190.658033,2.132004,4.042244,2.303523
342,1.705,1132.859099,2.145383,4.053759,2.30278
343,1.71,1132.859099,2.158424,4.065272,2.302057
344,1.715,1109.739526,2.171329,4.07678,2.301342
345,1.72,1144.418886,2.184296,4.088285,2.300623
346,1.725,1098.179739,2.197192,4.099786,2.299908
347,1.73,1121.299312,2.209952,4.111284,2.2992
348,1.735,1121.299312,2.22284,4.122778,2.298485
349,1.74,1121.299312,2.235725,4.134269,2.29777
350,1.745,1098.179739,2.248472,4.145756,2.297063
351,1.75,1167.538459,2.261481,4.15724,2.29634
352,1.755,1155.978673,2.274818,4.168719,2.295597
353,1.76,1202.217819,2.28835,4.180195,2.294843
354,1.765,1202.217819,2.302142,4.191668,2.294073
355,1.77,1202.217819,2.315929,4.203136,2.293302
356,1.775,1225.337393,2.329845,4.214601,2.292524
357,1.78,1225.337393,2.343888,4.226061,2.291738
358,1.785,1225.337393,2.357926,4.237518,2.290952
359,1.79,1236.89718,2.372026,4.248971,2.290162
360,1.795,1202.217819,2.385989,4.26042,2.28938
361,1.8,1179.098246,2.399616,4.271865,2.288618
362,1.805,1202.217819,2.413238,4.283306,2.287855
363,1.81,1167.538459,2.42679,4.294743,2.287097
364,1.815,1202.217819,2.440338,4.306177,2.286339
365,1.82,1202.217819,2.454079,4.317607,2.285568
366,1.825,1236.89718,2.468013,4.329033,2.284786
367,1.83,1190.658033,2.481877,4.340455,2.284008
368,1.835,1236.89718,2.495736,4.351873,2.28323
369,1.84,1236.89718,2.509854,4.363287,2.282436
370,1.845,1248.456966,2.524033,4.374697,2.281638
371,1.85,1248.456966,2.538273,4.386103,2.280837
372,1.855,1236.89718,2.552443,4.397505,2.280039
373,1.86,1260.016753,2.566673,4.408904,2.279237
374,1.865,1213.777606,2.580766,4.420298,2.278443
375,1.87,1236.89718,2.594723,4.431688,2.277657
376,1.875,1271.57654,2.609004,4.443074,2.276851
377,1.88,1236.89718,2.62328,4.454457,2.276046
378,1.885,1236.89718,2.637354,4.465835,2.275252
379,1.89,1236.89718,2.651423,4.477209,2.274458
380,1.895,1213.777606,2.665355,4.488579,2.273672
381,1.9,1167.538459,2.678889,4.499946,2.27291
382,1.905,1225.337393,2.692483,4.511308,2.272143
383,1.91,1271.57654,2.706664,4.522667,2.271341
384,1.915,1294.696113,2.721234,4.534022,2.270516
385,1.92,1340.93526,2.736192,4.545372,2.269667
386,1.925,1317.815687,2.751275,4.556718,2.26881
387,1.93,1329.375473,2.766287,4.56806,2.267957
388,1.935,1317.815687,2.781293,4.579398,2.267104
389,1.94,1306.2559,2.796163,4.590731,2.266259
390,1.945,1317.815687,2.811028,4.602061,2.265414
391,1.95,1340.93526,2.826083,4.613386,2.264557
392,1.955,1306.2559,2.841067,4.624706,2.263704
393,1.96,1306.2559,2.855849,4.636023,2.262863
394,1.965,1352.495047,2.870887,4.647335,2.262006
395,1.97,1306.2559,2.885919,4.658643,2.261149
396,1.975,1364.054833,2.901011,4.669946,2.260288
397,1.98,1329.375473,2.916228,4.681246,2.25942
398,1.985,1340.93526,2.931309,4.692541,2.258559
399,1.99,1352.495047,2.946514,4.703831,2.25769
400,1.995,1387.174407,2.961974,4.715117,2.256806
401,2,1352.495047,2.977429,4.726399,2.255921
402,2.005,1364.054833,2.992746,4.737677,2.255044
403,2.01,1352.495047,3.008058,4.74895,2.254168
404,2.015,1352.495047,3.023299,4.760218,2.253295
405,2.02,1364.054833,3.038599,4.771483,2.252419
406,2.025,1352.495047,3.053893,4.782742,2.251542
407,2.03,1317.815687,3.068921,4.793998,2.250681
408,2.035,1329.375473,3.083813,4.805249,2.249828
409,2.04,1317.815687,3.0987,4.816496,2.248975
410,2.045,1352.495047,3.11371,4.827739,2.248114
411,2.05,1352.495047,3.12891,4.838977,2.247242
412,2.055,1410.29398,3.144429,4.850211,2.246349
413,2.06,1444.973341,3.16046,4.861441,2.245426
414,2.065,1398.734194,3.17642,4.872666,2.244506
415,2.07,1421.853767,3.192244,4.883886,2.243594
416,2.075,1421.853767,3.208191,4.895102,2.242674
417,2.08,1433.413554,3.224197,4.906313,2.24175
418,2.085,1421.853767,3.240195,4.917519,2.240826
419,2.09,1410.29398,3.256058,4.928721,2.23991
420,2.095,1387.174407,3.27172,4.939918,2.239006
421,2.1,1375.61462,3.287182,4.951111,2.238113
422,2.105,1468.092914,3.30309,4.962299,2.237193
423,2.11,1398.734194,3.31912,4.973483,2.236266
424,2.115,1364.054833,3.334563,4.984662,2.235373
425,2.12,1375.61462,3.349871,4.995837,2.234489
426,2.125,1433.413554,3.365559,5.007007,2.233581
427,2.13,1468.092914,3.381758,5.018172,2.232641
428,2.135,1479.652701,3.398207,5.029333,2.231686
429,2.14,1456.533127,3.414585,5.040489,2.230734
430,2.145,1525.891848,3.431214,5.051641,2.229767
431,2.15,1549.011421,3.448351,5.062787,2.228768
432,2.155,1502.772274,3.465352,5.073928,2.227778
433,2.16,1537.451634,3.48228,5.085065,2.226791
434,2.165,1549.011421,3.499459,5.096196,2.225788
435,2.17,1537.451634,3.516629,5.107323,2.224785
436,2.175,1514.332061,3.5336,5.118444,2.223795
437,2.18,1491.212487,3.550305,5.129561,2.222819
438,2.185,1456.533127,3.566682,5.140672,2.221864
